KEY_SKU_MEDICAMENTO;QTD_VENDIDA;DATA
ACEBROFILINA 5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP X 10 ML;19;2021-10-01
ACEBROFILINA 5 MG/ML XPE CT FR VD AMB X 120 ML + COP;3;2018-03-01
ACETATO DE CIPROTERONA + ETINILESTRADIOL (2 + 0,035)MG COM REV CT BL AL PLAS PVC TRANS X 21;36;2019-07-01
ACETATO DE CIPROTERONA 50 MG COM CT BL AL PLAS TRANS X 20;1;2018-02-01
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA 5 MG/G + 5 MG/G CREM DERM CT BG AL X 30 G;43;2021-07-01
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA 5 MG/G + 5 MG/G CREM DERM CT BG AL X 30 G ;16;2021-09-01
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA 5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC;246;2021-10-01
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA 5 MG/G + 5 MG/G CREM VAG CT BG AL X 40 G + 8 APLIC ;1045;2021-10-01
ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA 5 MG/G + 5 MG/G CREM VAG CT BG AL X 45 G + 8 APLIC;2818;2021-10-01
ACETATO DE DEXAMETASONA + CLOTRIMAZOL 10MG/G + 0,4MG/G CREM DERM CT BG AL X 40G;4;2021-10-01
ACETATO DE DEXAMETASONA 1,0 MG/G CREM DERM CT BG AL X 10 G  ;2;2021-07-01
ACETATO DE FLUDROCORTISONA + CLORIDRATO DE LIDOCAINA + SULFATO DE NEOMICINA + SULFATO DE POLIMIXINA B 10.000 UI/ML + 10 MG/ML + 1 MG/ML + 40 MG/ML SOL OTO CT FR VD AMB CGT X 8 ML;261;2019-05-01
ACETATO DE HIDROCORTISONA + SULFATO DE NEOMICINA POM BUCAL CT BG AL X 10 G;9100;2021-04-01
ACETATO DE HIDROCORTISONA 10 MG/G CREM DERM CT BG AL X 15 G ;6;2017-12-01
ACETATO DE MEDROXIPROGESTERONA + VALERATO DE ESTRADIOL + VALERATO DE ESTRADIOL 2MG COM X 11/ 2MG + 10 MG COM X 10 CT ENV AL X BL PLAST INC X 21 ;8;2019-12-01
ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO 3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 3 ML;12130;2021-10-01
ACETATO DE PREDNISOLONA + GATIFLOXACINO SESQUI-HIDRATADO 3 MG/ML + 10 MG/ML SUS OFT CT FR GOT PLAS OPC X 6 ML ;16948;2021-10-01
ACETATO DE PREDNISOLONA + SULFATO DE NEOMICINA + SULFATO DE POLIMIXINA B 5 MG/ML + 5 MG/ML + 10.000 UI/ML SUS OFT CT FR PLAS OPC CGT X 5 ML;11;2018-07-01
ACETATO DE RETINOL + AMINOÁCIDOS + CLORANFENICOL + LEVOMETIONINA POM OFT CT BG X 3,5 G;7;2018-02-01
ACETATO DE RETINOL + AMINOÁCIDOS + CLORANFENICOL + METIONINA (11 C) 10.000 UI/G + 25 MG/G + 5 MG/G + 5 MG/G POM OFT CT BG AL X 3,5 G;61276;2021-10-01
ACETATO DE ZUCLOPENTIXOL 50 MG/ML SOL INJ ACUPHASE CT AMP VD TRANS X 1 ML;803;2021-10-01
ACETILCISTEÍNA + SULFATO DE TUAMINOEPTANO 10 MG/ML +5 MG/ML SOL NAS CT FR VD AMB CGT X 12 ML;13;2021-04-01
ACETILCISTEÍNA 100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G ;1;2018-07-01
ACETILCISTEÍNA 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;2;2020-11-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA (1 + 2,5 + 0,25) MG/G + 100.000 UND/G POM DERM CT 01 BG AL X 30 G;1;2018-02-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1 MG + 2,5 MG + 0,25 MG + 100.000 U CREM DERM CT BG AL X 30 G ;9;2021-05-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1 MG + 2,5 MG + 0,25 MG + 100.000 U/G POM DERM CT BG AL X 30 G;1;2018-02-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0 MG /G+ 2,5 MG/G +0,25 MG + 100000 UI/G POM DERM CT BG PLAS LAMINADA X 10 G ;47;2021-09-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0 MG+2,5MG+0,25MG+100 000 UI CREM DERM CT BG AL X 30 G;4;2018-02-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0 MG/G + 2,5 MG /G +0,25 MG + 100000 UI/G CREM DREM CT BG PLAS LAMINADA X 10 G ;235;2021-09-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0 MG/G + 2,5 MG/G + 0,25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G;92;2021-10-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0 MG/G + 2,5 MG/G + 0,25 MG/G + 100000 UI/G POM DERM CT BG AL X 30 G;1;2021-01-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0 MG/G + 2,5 MG/G +0,25 MG + 100000 UI/G CREM DERM CT BG AL X 10 G ;3197;2021-10-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0 MG/G + 2,5 MG/G +0,25 MG + 100000 UI/G POM DERM CT BG AL X 10 G ;1027;2021-07-01
ACETONIDA DE TRIANCINOLONA + GRAMICIDINA + NISTATINA + SULFATO DE NEOMICINA 1,0MG+2,5MG+0,25MG+100 000 UI POM DERM CT BG AL X 30 G;9;2018-05-01
ACETONIDA DE TRIANCINOLONA 1,0 MG/G POM BUC CT BG AL X 10G ;3;2018-07-01
ACHILLEA MILLEFOLIUM L. + ACONITUM NAPELLUS + ARNICA MONTANA L. + ATROPA BELLADONNA + BELLIS PERENNIS + CALENDULA OFFICINALIS L. + ECHINACEA ANGUSTIFOLIA DC. + ECHINACEA PURPUREA (L.) MOENCH + HAMAMELIS VIRGINIANA L. + HEPAR SULFURIS + HYPERICUM PERFORATUM + MATRICARIA CHAMOMILLA L. + MERCURIUS SOLUBILIS + SYMPHYTUM OFFICINALE L. 301,5 MG COM SUB-LING CT FR PLAS OPC X 50  ;1;2020-03-01
ACITRETINA 10 MG CAP DURA CT BL AL PLAS AMB X 100;23;2018-05-01
ACITRETINA 10 MG CAP DURA CT BL AL PLAS AMB X 30;2;2019-08-01
ACITRETINA 25 MG CAP DURA CT BL AL PLAS AMB X 100;30;2019-07-01
ACITRETINA 25 MG CAP DURA CT BL AL PLAS AMB X 30;55;2021-09-01
ADAPALENO + FOSFATO DE CLINDAMICINA (1,00 + 10,00) MG/G GEL DERM LIB PROL CT BG PLAS LAM X 30 G;15420;2021-10-01
ADAPALENO + FOSFATO DE CLINDAMICINA 1 MG/G + 10 MG/G GEL DERM CT BG AL REV PLAS X 30 G;29;2021-08-01
ADAPALENO + FOSFATO DE CLINDAMICINA 1 MG/G + 10 MG/G GEL DERM CT BG AL REV PLAS X 45 G;17862;2021-10-01
