ANO_VENDA;MES_VENDA;PRINCIPIO_ATIVO;DESCRICAO_APRESENTACAO;QTD_VENDIDA
2020;5;AMOXICILINA + CLAVULANATO DE POTÁSSIO;875 MG + 125 MG COM REV CT FR VD AMB X 20;2
2020;5;AMOXICILINA + CLAVULANATO DE POTÁSSIO;875 MG + 125 MG COM REV CT FR VD AMB X 20;1
2020;5;AMOXICILINA + SULBACTAM;875 MG + 125 MG COM REV CT BL AL PLAS INC X 14;3
2020;5;AMOXICILINA + SULBACTAM;875 MG + 125 MG COM REV CT BL AL PLAS INC X 14;1
2020;5;AMOXICILINA + SULBACTAM;875 MG + 125 MG COM REV CT BL AL PLAS INC X 14;1
2020;5;AMOXICILINA + SULBACTAM;875 MG + 125 MG COM REV CT BL AL PLAS INC X 14;1
2020;5;AMOXICILINA + SULBACTAM;875 MG + 125 MG COM REV CT BL AL PLAS INC X 14;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;2
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;2
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
2020;5;AMOXICILINA TRI-HIDRATADA;100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML + COP;1
